-----------------------------------------------------------------------------------------------------
General Information:
-----------------------------------------------------------------------------------------------------
The Best Solution Score is: 0.7676736111111111
The Best Solution Score come from [crossover] population
Total time to find the best solution: 1.9128856658935547
-----------------------------------------------------------------------------------------------------
My Algorithm score: 0.7916666666666666
My Algorithm execution time: 0.17
XGBoost score: 0.9444444444444444
XGBoost execution time: 0.3
GBoost score: 0.9
GBoost execution time: 1.32
RF score: 0.9055555555555556
RF execution time: 0.04
DT score: 0.7416666666666667
DT execution time: 0.01
-----------------------------------------------------------------------------------------------------
Evolutionary Learning Params
Population Size: 15
Crossover Percentage: 0.7
Mutation Percentage: 0.15
Mutation Rate: 0.6
Max Generations: 5
Fitness Lambda (Accuracy Diversity trade off): 0.01
-----------------------------------------------------------------------------------------------------
Evolutionary Learning Methods
Chromosome Representation: 1D
Crossover Method: commonality_based_crossover
Mutation Method: bit_flip_mutation
Parent Selection Method: random_selection
-----------------------------------------------------------------------------------------------------
Multiple Classification Models Params
Fusion Method: majority_voting
Heterogeneous Classification: True
Cross Validation: 5.
Fitness Score Metric: f1_micro
Selected Classifiers: ['DT5']
-----------------------------------------------------------------------------------------------------
Dynamic Ensemble Selection Params
-----------------------------------------------------------------------------------------------------
Data Params
-----------------------------------------------------------------------------------------------------
Dataset: digits
Dataset Normalization Method: Standardization
----------------------------------CLASSIFIERS GUESS VS PREDICTIONS-------------------------------------------------
([4, 4, 4, 4, 4, 1, 1, 4, 4, 4, 4, 1, 4, 1, 1], 0)
([5, 5, 5, 3, 5, 5, 5, 5, 6, 4, 6, 5, 5, 5, 5], 5)
([4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4], 4)
([9, 9, 1, 4, 8, 2, 2, 9, 1, 7, 9, 1, 2, 1, 1], 6)
([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0)
([9, 9, 9, 8, 8, 8, 8, 8, 9, 9, 1, 9, 1, 8, 8], 8)
([1, 1, 1, 8, 8, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2], 8)
([5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5], 5)
([1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2], 8)
([6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], 6)
([9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9], 9)
([5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5], 5)
([1, 1, 1, 4, 9, 9, 9, 9, 1, 1, 8, 1, 9, 9, 9], 3)
([5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5], 5)
([4, 4, 4, 7, 4, 1, 1, 4, 4, 4, 9, 1, 9, 1, 1], 7)
([3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3], 3)
([3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3], 3)
([7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7], 7)
([9, 9, 9, 8, 8, 8, 8, 8, 9, 9, 8, 9, 8, 8, 8], 8)
([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 1)
([4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4], 4)
([6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], 6)
([5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5], 5)
([9, 9, 9, 3, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9], 9)
([7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7], 7)
([9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9], 9)
([6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6], 6)
([9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9], 9)
([3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 3)
([9, 9, 9, 8, 8, 8, 8, 8, 9, 9, 8, 9, 8, 8, 8], 8)
([1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 1)
([2, 2, 1, 2, 8, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2], 2)
([1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 1)
([4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4], 4)
([9, 9, 9, 7, 8, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9], 7)
([0, 0, 0, 0, 4, 6, 4, 0, 0, 5, 5, 0, 0, 0, 0], 6)
([5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5], 5)
([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0)
([8, 8, 8, 8, 3, 8, 8, 8, 3, 3, 7, 8, 8, 8, 8], 8)
([4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4], 4)
([1, 1, 1, 1, 8, 9, 9, 9, 1, 1, 1, 1, 1, 9, 9], 1)
([6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], 6)
([1, 1, 1, 2, 1, 1, 1, 1, 1, 4, 6, 1, 1, 1, 1], 2)
([6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], 6)
([6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], 6)
([1, 1, 3, 3, 1, 3, 3, 3, 8, 8, 1, 3, 3, 3, 3], 3)
([4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4], 4)
([9, 9, 9, 3, 8, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9], 9)
([3, 3, 3, 2, 2, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3], 2)
([8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8], 8)
([3, 3, 3, 9, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], 9)
([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0)
([4, 4, 4, 7, 4, 4, 4, 4, 4, 4, 9, 4, 8, 4, 4], 4)
([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0)
([9, 9, 9, 8, 8, 8, 8, 8, 9, 9, 8, 9, 8, 8, 8], 8)
([4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4], 4)
([9, 9, 9, 4, 8, 9, 9, 9, 9, 9, 4, 9, 4, 9, 9], 4)
([7, 7, 8, 7, 7, 8, 8, 7, 3, 7, 7, 8, 8, 8, 8], 7)
([5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5], 5)
([2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2], 2)
([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0)
([6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], 6)
([1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 6, 1, 1, 1, 1], 1)
([1, 1, 1, 1, 1, 4, 4, 1, 1, 1, 8, 4, 8, 4, 4], 1)
([2, 4, 4, 6, 2, 8, 2, 4, 4, 4, 4, 8, 4, 2, 4], 6)
([6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], 6)
([9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9], 9)
([5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5], 5)
